# wavelength, spectrum
1.267609999999999900e+03,7.516393728530210705e-01
1.269210000000000036e+03,7.504940191121689530e-01
1.270809999999999945e+03,7.502096633081409838e-01
1.272420000000000073e+03,7.472478672262792276e-01
1.274019999999999982e+03,7.478152290982714723e-01
1.275630000000000109e+03,7.456364013680544245e-01
1.277230000000000018e+03,7.455076768312169921e-01
1.278829999999999927e+03,7.433144525897961152e-01
1.280440000000000055e+03,7.415238640589545405e-01
1.282039999999999964e+03,7.402565595078870464e-01
1.283650000000000091e+03,7.382264799338258410e-01
1.285250000000000000e+03,7.369632821345913909e-01
1.286859999999999900e+03,7.337464659041258441e-01
1.288460000000000036e+03,7.327580862542550921e-01
1.290069999999999936e+03,7.310697718608896167e-01
1.291680000000000064e+03,7.280859414284804876e-01
1.293279999999999973e+03,7.255006261139559376e-01
1.294890000000000100e+03,7.234704150325778071e-01
1.296490000000000009e+03,7.219045513902475619e-01
1.298099999999999909e+03,7.185649259727565630e-01
1.299710000000000036e+03,7.167477954383570937e-01
1.301319999999999936e+03,7.125755986707718037e-01
1.302920000000000073e+03,7.105690344755737353e-01
1.304529999999999973e+03,7.072310899011949870e-01
1.306140000000000100e+03,7.037566413437360557e-01
1.307750000000000000e+03,6.995394165384032359e-01
1.309349999999999909e+03,6.962481401647298007e-01
1.310960000000000036e+03,6.919339942211775174e-01
1.312569999999999936e+03,6.885999264353761529e-01
1.314180000000000064e+03,6.828734018983512177e-01
